service_id,date,exception_type
invl_25.pex,20251208,2
obralut_bolvia1_festinvl_25.pex,20251208,1
obralut_bolvia1_invl_25.pex,20251216,2
invl_25.pex,20251216,1
invl_25.pex,20251201,2
obralut_bolvia1_invl_25.pex,20251201,1
obralut_bolvia1_invl_25.pex,20251223,2
invl_25.pex,20251223,1
fu1900hobralut_bolvia1_invl_25.pex,20251224,2
nocbuviinvl_25.pex,20251224,1
invspostvlargo_25.pex,20251227,2
invs_25.pex,20251227,1
invd_25.pex,20251207,2
obralut_bolvia1_invdcortopostfestlargo_25.pex,20251207,1
fu1900hobralut_bolvia1_invl_25.pex,20251217,2
invl_25.pex,20251217,1
obralut_bolvia1_invl_25.pex,20251218,2
invl_25.pex,20251218,1
obralut_bolvia1_invl_25.pex,20251230,2
sempascnavinvl_25.pex,20251230,1
invspostvlargo_25.pex,20251206,2
fu2100hgatibuobralut_bolvia1_festinvlargo_25.pex,20251206,1
invl_25.pex,20251229,2
sempascnavinvl_25.pex,20251229,1
fu1900hobralut_bolvia1_invl_25.pex,20251231,2
nocbuvisempascnavinvl_25.pex,20251231,1
invvlargo_25.pex,20251205,2
obralut_bolvia1_invv_25.pex,20251205,1
invvlargo_25.pex,20251226,2
sempascnavinvv_25.pex,20251226,1
fu1900hobralut_bolvia1_invl_25.pex,20251210,2
obralut_bolvia1_invl_25.pex,20251210,1
obralut_bolvia1_invl_25.pex,20251225,2
navidadinvl_25.pex,20251225,1
invd_25.pex,20251130,2
obralut_bolvia1_invd_25.pex,20251130,1
