trip_id,route_id,service_id,trip_headsign,direction_id,shape_id
712058,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712059,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712060,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712061,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712062,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712063,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712064,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712065,MB,nocbuviinvl_25.pex,Etxebarri,1,SOP_ETX
712066,MB,nocbuviinvl_25.pex,Etxebarri,1,SOP_ETX
712067,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712068,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712069,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712070,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712071,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712072,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712073,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712074,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712075,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712076,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712077,MB,nocbuviinvl_25.pex,Sopela,0,ETX_SOP
712078,MB,nocbuviinvl_25.pex,Etxebarri,1,SOP_ETX
712079,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712080,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712081,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712082,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712083,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712084,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712085,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712086,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712087,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712088,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712089,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712090,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712091,MB,nocbuviinvl_25.pex,Etxebarri,1,LAR_ETX
712092,MB,nocbuviinvl_25.pex,Larrabasterra,0,ETX_LAR
712093,MB,nocbuviinvl_25.pex,Etxebarri,1,SOP_ETX
712094,MB,nocbuviinvl_25.pex,Etxebarri,1,URD_ETX
712095,MB,nocbuviinvl_25.pex,Urduliz,0,ETX_URD
712096,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712097,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712098,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712099,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712100,MB,nocbuviinvl_25.pex,Sopela,0,ETX_SOP
712101,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712102,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712103,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712104,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712105,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712106,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712107,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712108,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712109,MB,nocbuviinvl_25.pex,Sopela,0,ETX_SOP
712110,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712111,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712112,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712113,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712114,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712115,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
712116,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712117,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
712118,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712119,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
712120,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712121,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
712122,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712123,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712124,MB,nocbuviinvl_25.pex,Etxebarri,1,IBB_ETX
712125,MB,nocbuviinvl_25.pex,Ibarbengoa,0,ETX_IBB
712126,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712127,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712128,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712129,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712130,MB,nocbuviinvl_25.pex,Plentzia,0,ETX_PLE
712131,MB,nocbuviinvl_25.pex,Etxebarri,1,PLE_ETX
712132,MB,nocbuviinvl_25.pex,Kabiezes,0,ETX_KAB
712133,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712134,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
712135,MB,nocbuviinvl_25.pex,Basauri,1,KAB_BSR
712136,MB,nocbuviinvl_25.pex,Kabiezes,0,BSR_KAB
