_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
1,2025,A0651,BILBAO - BALMASEDA,Negua,Festivo,42,30,1260,15,630,15,630
2,2025,A0651,BILBAO - BALMASEDA,Negua,Laborable,196,64,12544,32,6272,32,6272
3,2025,A0651,BILBAO - BALMASEDA,Negua,Sabado,36,32,1152,16,576,16,576
4,2025,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Festivo,21,30,630,15,315,15,315
5,2025,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Laborable,52,64,3328,32,1664,32,1664
6,2025,A0651,BILBAO - BALMASEDA,Negua Instituturik gabe,Sabado,14,32,448,16,224,16,224
7,2025,A0651,BILBAO - BALMASEDA,Gabonak (24-31),Laborable,2,54,108,26,52,28,56
8,2025,A0651,BILBAO - BALMASEDA,Gabonak (25 -1),Festivo,2,19,38,10,20,9,18
9,2025,A0652,LANESTOSA - BALMASEDA,Negua,Festivo,51,4,204,2,102,2,102
10,2025,A0652,LANESTOSA - BALMASEDA,Negua,Laborable,207,14,2898,7,1449,7,1449
11,2025,A0652,LANESTOSA - BALMASEDA,Negua,Sabado,41,4,164,2,82,2,82
12,2025,A0652,LANESTOSA - BALMASEDA,Negua Instituturik gabe,Festivo,12,6,72,3,36,3,36
13,2025,A0652,LANESTOSA - BALMASEDA,Negua Instituturik gabe,Laborable,41,14,574,7,287,7,287
14,2025,A0652,LANESTOSA - BALMASEDA,Negua Instituturik gabe,Sabado,9,6,54,3,27,3,27
15,2025,A0652,LANESTOSA - BALMASEDA,Gabonak (24-31),Laborable,2,13,26,7,14,6,12
16,2025,A0652,LANESTOSA - BALMASEDA,Gabonak (25 -1),Festivo,2,4,8,2,4,2,4
17,2025,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,Bakarra,Laborable,250,14,3500,7,1750,7,1750
18,2025,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,Negua Instituturik gabe,Laborable,52,26,1352,14,728,12,624
19,2025,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Eskola-egunak,Laborable,173,26,4498,14,2422,12,2076
20,2025,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,EHU Ez Eskolakoa,Laborable,23,26,598,14,322,12,276
21,2025,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,Gabonak (24-31),Laborable,2,25,50,14,28,11,22
22,2025,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Festivo,19,16,304,8,152,8,152
23,2025,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Laborable,55,35,1925,18,990,17,935
24,2025,A2151,Areeta/Las Arenas - LARRABETZU,Negua,Sabado,13,16,208,8,104,8,104
25,2025,A2151,Areeta/Las Arenas - LARRABETZU,Uda,Festivo,6,16,96,8,48,8,48
26,2025,A2151,Areeta/Las Arenas - LARRABETZU,Uda,Laborable,20,33,660,17,340,16,320
27,2025,A2151,Areeta/Las Arenas - LARRABETZU,Uda,Sabado,5,16,80,8,40,8,40
28,2025,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Festivo,38,16,608,8,304,8,304
29,2025,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Laborable,173,35,6055,18,3114,17,2941
30,2025,A2151,Areeta/Las Arenas - LARRABETZU,EHU Eskola-egunak,Sabado,32,16,512,8,256,8,256
31,2025,A2151,Areeta/Las Arenas - LARRABETZU,Gabonak (24-31),Laborable,2,31,62,16,32,15,30
32,2025,A2151,Areeta/Las Arenas - LARRABETZU,Gabonak (25 -1),Festivo,2,10,20,5,10,5,10
33,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Festivo,51,30,1530,15,765,15,765
34,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Laborable,207,33,6831,16,3312,17,3519
35,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua,Sabado,41,32,1312,16,656,16,656
36,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua Instituturik gabe,Festivo,12,30,360,15,180,15,180
37,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua Instituturik gabe,Laborable,41,32,1312,16,656,16,656
38,2025,A2153,BILBAO - Txorierri - LARRABETZU,Negua Instituturik gabe,Sabado,9,32,288,16,144,16,144
39,2025,A2153,BILBAO - Txorierri - LARRABETZU,Gabonak (24-31),Laborable,2,29,58,14,28,15,30
40,2025,A2153,BILBAO - Txorierri - LARRABETZU,Gabonak (25 -1),Festivo,2,19,38,10,20,9,18
41,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Festivo,43,27,1161,14,602,13,559
42,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Laborable,198,58,11484,30,5940,28,5544
43,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Eskola-egunak,Sabado,37,31,1147,16,592,15,555
44,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Festivo,20,27,540,14,280,13,260
45,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Laborable,50,31,1550,16,800,15,750
46,2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,EHU Murriztua,Sabado,13,31,403,16,208,15,195
