_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
46,=916,USANSOLO,2025,2025-07-25 08:03:33,A2610,GALDAKAO - UPV/EHU,EHU Eskola-egunak,Laborable,101,24,2424,13,1313,11,1111
47,=916,USANSOLO,2025,2025-07-25 08:03:33,A2610,GALDAKAO - UPV/EHU,EHU Murriztua,Laborable,16,22,352,11,176,11,176
48,=916,USANSOLO,2025,2025-07-25 08:03:33,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,Bakarra,Festivo,31,14,434,7,217,7,217
49,=916,USANSOLO,2025,2025-07-25 08:03:33,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,Bakarra,Laborable,123,18,2214,10,1230,8,984
50,=916,USANSOLO,2025,2025-07-25 08:03:33,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,Bakarra,Sabado,26,17,442,9,234,8,208
51,=916,USANSOLO,2025,2025-07-25 08:03:33,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,Gabonak (25 -1),Festivo,1,10,10,5,5,5,5
52,=916,USANSOLO,2025,2025-07-25 08:03:33,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,Bakarra,Festivo,31,14,434,7,217,7,217
53,=916,USANSOLO,2025,2025-07-25 08:03:33,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,Bakarra,Laborable,123,16,1968,8,984,8,984
54,=916,USANSOLO,2025,2025-07-25 08:03:33,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,Bakarra,Sabado,26,16,416,8,208,8,208
55,=916,USANSOLO,2025,2025-07-25 08:03:33,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,Gabonak (25 -1),Festivo,1,8,8,4,4,4,4
