_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,ERREFORTZU/REFUERZO,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ERREFORTZUAK EGUNEAN/REFUERZOS AL DIA,ERREFORTZUAK GUZTIRA/TOTAL REFUERZOS,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
39,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,1,Laborable,88,6,528,2,176,4,352
40,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,2,Laborable,6,3,18,0,0,3,18
41,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,3,Laborable,29,5,145,1,29,4,116
42,2025,2025-07-25 08:03:35,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,110,1,110,1,110,0,0
43,2025,2025-07-25 08:03:35,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,60,1,60,1,60,0,0
44,2025,2025-07-25 08:03:35,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,74,3,222,2,148,1,74
45,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,52,2,104,1,52,1,52
46,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,64,3,192,2,128,1,64
47,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Lunes a Jueves,8,1,8,1,8,0,0
48,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Laborable,10,2,20,1,10,1,10
49,2025,2025-07-25 08:03:35,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,74,1,74,1,74,0,0
50,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,52,6,312,3,156,3,156
51,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,12,1,12,0,0,1,12
52,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),2,Laborable,10,3,30,2,20,1,10
53,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,52,1,52,0,0,1,52
54,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,64,2,128,2,128,0,0
55,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),2,Lunes a Jueves,8,1,8,0,0,1,8
56,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),2,Laborable,10,1,10,1,10,0,0
57,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,14,1,14,1,14,0,0
58,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,18,2,36,2,36,0,0
59,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),2,Laborable,10,2,20,2,20,0,0
60,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),3,Lunes a Jueves,38,2,76,2,76,0,0
61,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),3,Laborable,46,2,92,2,92,0,0
62,2025,2025-07-25 08:03:35,A2326,BARAKALDO - UPV/EHU,1,Laborable,74,2,148,1,74,1,74
63,2025,2025-07-25 08:03:35,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,97,2,194,0,0,2,194
64,2025,2025-07-25 08:03:35,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,1,Laborable,95,1,95,1,95,0,0
65,2025,2025-07-25 08:03:35,A3336,BILBAO - MUSKIZ,1,Laborable,95,1,95,1,95,0,0
66,2025,2025-07-25 08:03:35,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),1,Laborable,123,2,246,0,0,2,246
67,2025,2025-07-25 08:03:35,A3512,BILBAO - LEKEITIO (Autopista),1,Laborable,95,1,95,0,0,1,95
68,2025,2025-07-25 08:03:35,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,1,Laborable,123,2,246,0,0,2,246
69,2025,2025-07-25 08:03:35,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,1,Laborable,123,1,123,0,0,1,123
70,2025,2025-07-25 08:03:35,A3518,BILBAO -MUNGIA - BAKIO (Autopista),1,Laborable,107,3,321,1,107,2,214
71,2025,2025-07-25 08:03:35,A3518,BILBAO -MUNGIA - BAKIO (Autopista),2,Laborable,16,4,64,1,16,3,48
72,2025,2025-07-25 08:03:35,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,74,1,74,1,74,0,0
73,2025,2025-07-25 08:03:35,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,123,9,1107,3,369,6,738
84,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,1,Laborable,105,6,630,2,210,4,420
85,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,2,Laborable,27,3,81,0,0,3,81
86,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,3,Laborable,34,5,170,1,34,4,136
87,2025,2025-10-25 08:05:32,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,127,1,127,1,127,0,0
1,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,1,Laborable,55,6,330,2,110,4,220
2,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,2,Laborable,2,3,6,0,0,3,6
3,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,3,Laborable,5,5,25,1,5,4,20
4,2025,2025-04-25 08:02:56,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,60,1,60,1,60,0,0
5,2025,2025-04-25 08:02:56,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,39,1,39,1,39,0,0
6,2025,2025-04-25 08:02:56,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,49,3,147,2,98,1,49
